"""Type d'intervalle"",";N° intervalle,;Start Date,;Start Day,;Start Time,;End Date,;End Day,;End Time,;Durée,
REST;1;5/28/2021;;12:29:30 πμ;5/28/2021;;6:59:00 πμ;389.50
REST;2;5/28/2021;;11:39:15 μμ;5/29/2021;;6:03:45 πμ;384.50
REST;3;5/29/2021;;11:35:30 μμ;5/30/2021;;7:16:30 πμ;461.00
REST;4;5/30/2021;;11:25:45 μμ;5/31/2021;;5:47:00 πμ;381.25
REST;5;6/1/2021;;1:15:15 πμ;6/1/2021;;6:40:15 πμ;325.00
REST;6;6/2/2021;;1:12:30 πμ;6/2/2021;;5:52:00 πμ;279.50
REST;7;6/2/2021;;11:57:15 μμ;6/3/2021;;6:13:30 πμ;376.25
ACTIVE;1;5/27/2021;;5:22:00 μμ;5/28/2021;;12:29:30 πμ;427.50
ACTIVE;2;5/28/2021;;6:59:00 πμ;5/28/2021;;11:39:15 μμ;1000.25
ACTIVE;3;5/29/2021;;6:03:45 πμ;5/29/2021;;11:35:30 μμ;1051.75
ACTIVE;4;5/30/2021;;7:16:30 πμ;5/30/2021;;11:25:45 μμ;969.25
ACTIVE;5;5/31/2021;;5:47:00 πμ;6/1/2021;;1:15:15 πμ;1168.25
ACTIVE;6;6/1/2021;;6:40:15 πμ;6/2/2021;;1:12:30 πμ;1112.25
ACTIVE;7;6/2/2021;;5:52:00 πμ;6/2/2021;;11:57:15 μμ;1085.25
ACTIVE;8;6/3/2021;;6:13:30 πμ;6/3/2021;;8:21:45 πμ;128.25
SLEEP;1;5/28/2021;;1:22:45 πμ;5/28/2021;;6:58:45 πμ;336.00
SLEEP;2;5/29/2021;;12:48:45 πμ;5/29/2021;;5:47:45 πμ;299.00
SLEEP;3;5/30/2021;;12:53:30 πμ;5/30/2021;;7:16:15 πμ;382.75
SLEEP;4;5/30/2021;;11:55:30 μμ;5/31/2021;;5:45:15 πμ;349.75
SLEEP;5;6/1/2021;;1:15:45 πμ;6/1/2021;;6:40:00 πμ;324.25
SLEEP;6;6/2/2021;;1:39:00 πμ;6/2/2021;;5:51:45 πμ;252.75
SLEEP;7;6/3/2021;;12:39:45 πμ;6/3/2021;;6:13:15 πμ;333.50
DAILY;1;5/27/2021;;5:22:00 μμ;5/28/2021;;12:00:00 μμ;1118.00
DAILY;2;5/28/2021;;12:00:00 μμ;5/29/2021;;12:00:00 μμ;1440.00
DAILY;3;5/29/2021;;12:00:00 μμ;5/30/2021;;12:00:00 μμ;1440.00
DAILY;4;5/30/2021;;12:00:00 μμ;5/31/2021;;12:00:00 μμ;1440.00
DAILY;5;5/31/2021;;12:00:00 μμ;6/1/2021;;12:00:00 μμ;1440.00
DAILY;6;6/1/2021;;12:00:00 μμ;6/2/2021;;12:00:00 μμ;1440.00
DAILY;7;6/2/2021;;12:00:00 μμ;6/3/2021;;8:21:45 πμ;1221.75
